关键词,来源,月搜索量,KD,CPC($),Trends比值,Top10最低2站DR均值,SERP弱度,自有站DR,DR差值,G1话题相关,G2可承接,意图,DR过滤,分桶_自动,手动分桶,调整原因,分桶,AIO预判,AIO风险,排序权重,内容状态,发布URL,备注
birth chart calculator,种子词拓展,90000,0,0.45,,38,❌强,0,38,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,1,,,
astro seek,种子词拓展,38000,0,0.09,,88,✅弱,0,88,✅相关,Y,待确认,❌跳过,❌跳过,⚡快速胜利,top10页面5个论坛内容，且kd为0，流量极高，有冲击的必要,⚡快速胜利★,,,3,,,
cafe astrology,种子词拓展,29000,21,0.1,,35,✅弱,0,35,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,3,,,
vedic astrology,竞品映射,15000,39,0.6,,16,✅弱,0,16,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
persephone goddess,竞品映射,12000,18,0.02,,71,⚠️中,0,71,✅相关,,待确认,❌跳过,❌跳过,⚡快速胜利,,⚡快速胜利★,,,2,,,
vedic astrology chart,竞品映射,10000,17,0.5,,53,⚠️中,0,53,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,2,,,
aura color meaning,竞品映射,9400,12,0.02,,64,❌强,0,64,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,⚠️疑似高风险,,1,,,
aura colors,竞品映射,9100,0,0.03,,74,✅弱,0,74,✅相关,,待确认,❌跳过,❌跳过,⚡快速胜利,有多个blog页面，且前三名都为DR差距30以内的blog页面,⚡快速胜利★,,,3,,,
blue aura meaning,竞品映射,8000,0,0.02,,53,✅弱,0,53,✅相关,,待确认,❌跳过,❌跳过,⚡快速胜利,,⚡快速胜利★,⚠️疑似高风险,,3,,,
crown chakra,竞品映射,7800,19,0.06,,55,⚠️中,0,55,✅相关,,待确认,❌跳过,❌跳过,⚡快速胜利,,⚡快速胜利★,,,2,,,
yellow aura meaning,竞品映射,7400,0,0.02,,63,✅弱,0,63,✅相关,,待确认,❌跳过,❌跳过,⚡快速胜利,以aura colors为主blog，创作颜色系列,⚡快速胜利★,⚠️疑似高风险,,3,,,
purple aura,竞品映射,7300,3,0.02,,18,✅弱,0,18,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
9th house astrology,竞品映射,7000,19,0.03,,29,✅弱,0,29,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,,,3,,,
ascendant,竞品映射,6900,29,0.06,,31,⚠️中,0,31,✅相关,,待确认,❌跳过,❌跳过,,,❌跳过,,,2,,,
8th house astrology,竞品映射,6900,22,0.03,,27,✅弱,0,27,✅相关,,待确认,✅通过,📌长尾词,,,📌长尾词,,,3,,,
white aura meaning,竞品映射,6600,0,0.01,,14,✅弱,0,14,✅相关,,待确认,✅通过,⚡快速胜利,,,⚡快速胜利,⚠️疑似高风险,,3,,,
