关键词,来源,月搜索量,KD,CPC($),Trends比值,Top10最低2站DR均值,SERP弱度,自有站DR,DR差值,G1话题相关,G2可承接,意图,竞争建议,分桶_自动,手动分桶,调整原因,分桶,AIO预判,AIO风险,弱度意图分,生产准入_自动,手动生产准入,生产准入,生产状态,page_id,发布URL,备注,cluster_id
free white label seo report,竞品映射,350,24,,,30.5,⚠️中,0,30.5,✅相关,,Generic,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,white_label_seo
keyword tool bulk,竞品映射,150,39,,,55.5,❌强,0,55.5,✅相关,,Informational,⏸暂缓,长尾词,,,长尾词,,,1,暂缓,,暂缓,,,,,seo_tools_comparison
free press release submission sites,竞品映射,100,38,1.73,,26,⚠️中,0,26,⚠️待确认,,Informational,✅可做,长尾词,,,长尾词,,,2,可生产,,可生产,,,,,social_link_building
gmb scraper,竞品映射,70,30,1.52,,6.5,⚠️中,0,6.5,⚠️待确认,,Generic,✅可做,长尾词,,,长尾词,,,2,可生产,,可生产,,,,,technical_seo_audit
bulk search volume checker,竞品映射,100,26,5.39,,33,⚠️中,0,33,⚠️待确认,,Informational,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,seo_tools_comparison
seo white labeled ranking tool,竞品映射,70,1,,,23.5,✅弱,0,23.5,✅相关,,Generic,✅可做,长尾词,,,长尾词,,,3,可生产,,可生产,,,,,white_label_seo
tiktok seo tool,竞品映射,500,30,,,11,✅弱,0,11,✅相关,,Informational,✅可做,长尾词,,,长尾词,,,3,可生产,,可生产,,,,,social_media_seo_tools
web 2.0 websites,竞品映射,90,1,,,7,⚠️中,0,7,⚠️待确认,,Transactional,✅可做,长尾词,,,长尾词,,,2,可生产,,可生产,,,,,social_link_building
tracking for seo agencies,竞品映射,80,1,,,12.5,✅弱,0,12.5,✅相关,,Generic,✅可做,长尾词,,,长尾词,,,3,可生产,,可生产,,,,,agency_rank_tracking
lsi keywords software,竞品映射,700,21,,,57.5,⚠️中,0,57.5,✅相关,,Problem-aware,⏸暂缓,长尾词,,,长尾词,,,3,暂缓,,暂缓,,,,,seo_tools_comparison
seo tool for tiktok,竞品映射,60,12,,,7.5,✅弱,0,7.5,✅相关,,Generic,✅可做,长尾词,,,长尾词,,,3,可生产,,可生产,,,,,social_media_seo_tools
seo competitor research tool,竞品映射,600,24,,,73,⚠️中,0,73,✅相关,,Informational,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,seo_tools_comparison
domain overview,竞品映射,1400,25,,,48.5,⚠️中,0,48.5,⚠️待确认,,Generic,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,seo_tools_comparison
seo tool for mac,竞品映射,90,0,19,,35,⚠️中,0,35,✅相关,,Generic,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,seo_tools_comparison
seo tools for mac,竞品映射,150,28,19,,44.5,⚠️中,0,44.5,✅相关,,Informational,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,seo_tools_comparison
free social bookmarking sites list,竞品映射,50,3,,,32,✅弱,0,32,⚠️待确认,,Transactional,⏸暂缓,长尾词,,,长尾词,,,3,暂缓,,暂缓,,,,,social_link_building
ethical seo company usa,竞品映射,100,25,,,26,⚠️中,0,26,✅相关,,Generic,✅可做,长尾词,,,长尾词,,,2,可生产,,可生产,,,,,ethical_organic_seo
online pr tools,竞品映射,70,4,,,45,⚠️中,0,45,⚠️待确认,,Generic,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,social_link_building
firma seo,内容缺口,800,53,3.08,,47.5,⚠️中,0,47.5,✅相关,,Informational,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
seo report card tool,内容缺口,800,82,3.3,,7.5,⚠️中,0,7.5,✅相关,,Transactional,✅可做,长尾词,,,长尾词,,,2,可生产,,可生产,,,,,agency_rank_tracking
video seo keyword rank tracker,内容缺口,250,68,,,26,⚠️中,0,26,✅相关,,Informational,✅可做,长尾词,,,长尾词,,,2,可生产,,可生产,,,,,agency_rank_tracking
commercial intent keyword tool,内容缺口,100,81,,,42,⚠️中,0,42,✅相关,,Informational,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,seo_tools_comparison
best press release sites,内容缺口,100,89,9.05,,64,⚠️中,0,64,⚠️待确认,,Commercial,⏸暂缓,长尾词,,,长尾词,,,3,暂缓,,暂缓,,,,,social_link_building
tiktok seo tool free,内容缺口,40,26,1.34,,11,⚠️中,0,11,✅相关,,Informational,✅可做,长尾词,,,长尾词,,,2,可生产,,可生产,,,,,social_media_seo_tools
web 2.0 list,内容缺口,30,0,,,0,✅弱,0,0,⚠️待确认,,Generic,✅可做,长尾词,,,长尾词,,,3,可生产,,可生产,,,,,social_link_building
web 2.0 blogs,内容缺口,20,1,,,6.5,✅弱,0,6.5,⚠️待确认,,Informational,✅可做,长尾词,,,长尾词,,,3,可生产,,可生产,,,,,social_link_building
seo éthique,内容缺口,20,12,,,21.5,⚠️中,0,21.5,✅相关,,Transactional,✅可做,长尾词,,,长尾词,,,2,可生产,,可生产,,,,,ethical_organic_seo
top 100 social bookmarking sites,内容缺口,20,12,,,12,✅弱,0,12,⚠️待确认,,Problem-aware,✅可做,长尾词,,,长尾词,,,4,可生产,,可生产,,,,,social_link_building
seo eesti,内容缺口,20,0,,,28.5,⚠️中,0,28.5,✅相关,,Transactional,✅可做,长尾词,,,长尾词,,,2,可生产,,可生产,,,,,
seo cég erdély,内容缺口,10,35,,,8.5,✅弱,0,8.5,✅相关,,待确认,✅可做,长尾词,,,长尾词,,,3,可生产,,可生产,,,,,
web 2.0 listing,内容缺口,10,1,,,6.5,✅弱,0,6.5,⚠️待确认,,Informational,✅可做,长尾词,,,长尾词,,,3,可生产,,可生产,,,,,social_link_building
top 50 social bookmarking sites list,内容缺口,10,5,,,12,✅弱,0,12,⚠️待确认,,Informational,✅可做,长尾词,,,长尾词,,,3,可生产,,可生产,,,,,social_link_building
bookmarking sites examples,内容缺口,10,10,,,36.5,⚠️中,0,36.5,⚠️待确认,,Transactional,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,social_link_building
sistrix hashtag generator,内容缺口,10,9,,,33,⚠️中,0,33,⚠️待确认,,Informational,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,social_media_seo_tools
press release submission sites list,内容缺口,10,0,23.1,,6.5,✅弱,0,6.5,⚠️待确认,,Informational,✅可做,长尾词,,,长尾词,,,3,可生产,,可生产,,,,,social_link_building
tallinn seo,内容缺口,0,0,,,24.5,⚠️中,0,24.5,✅相关,,Transactional,✅可做,长尾词,,,长尾词,,,2,可生产,,可生产,,,,,
searchvolume_test5,内容缺口,0,83,,,19.5,✅弱,0,19.5,⚠️待确认,,Informational,✅可做,长尾词,,,长尾词,,,3,可生产,,可生产,,,,,
searchvolume_test13,内容缺口,0,77,,,35.5,✅弱,0,35.5,⚠️待确认,,Problem-aware,⏸暂缓,长尾词,,,长尾词,,,4,暂缓,,暂缓,,,,,
how to conduct a technical seo site audit,种子词拓展,700,22,1.5,,74,⚠️中,0,74,✅相关,,Generic,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,technical_seo_audit
how to do a technical seo audit,种子词拓展,200,24,1.1,,53.5,⚠️中,0,53.5,✅相关,,Informational,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,technical_seo_audit
seo reporting,种子词拓展,4700,26,5,,69,⚠️中,0,69,✅相关,,Informational,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,agency_rank_tracking
seo content marketing,种子词拓展,3700,30,0.5,,45.5,⚠️中,0,45.5,✅相关,,Generic,⏸暂缓,长尾词,,,长尾词,,,2,暂缓,,暂缓,,,,,
