Target Keyword,Associated Keywords,月搜索量, KD,Intent,Tier,Template,Entity,Friction,Logic,CTA,GSC Keywords,Status,URL,Last Audit
"## 集群 1A：Aura Colors (光环颜色核心组)
*1篇总览长文 + 6篇核心颜色解析文。重点攻克流量最大的红橙黄蓝紫白。*",,未找到,未找到,,,,,,,,,,,
aura colors,(无),9100,0,Tutorial,Tier 1 (重装),Tutorial,"Aura / Energy Field
Chakra
Aspect Orbs
Stellium
Intuition / Empathy",,"Perhaps you got three online readings and they all said your aura was indigo blue. That sounds pretty confirmational, eh? What if all of those three readers came from the same tradition and that's why they only see one color? There could be more colors. What would that mean?",https://www.astrologywiki.com/zh/wiki,,初稿,/Users/letty/gengrowth-ops/inbox/04-production/aura-colors.md,
,,,,,,,,,,,,,,
blue aura meaning,"what does a blue aura mean
what does blue aura mean
light blue aura meaning
aura color meanings blue",8000,0,Info,Tier 2 (标准),Definition,"Throat Chakra / Vishuddha (喉轮)
Self-Expression / Communication (自我表达与沟通）
Intuition / Psychic Sensitivity (直觉与灵性感知)
Empathy / Empathic Nature (共情与共感)
Authenticity / Truth (真实性与真相)","I get auras are a thing, I’m training myself to see them- what I don’t get is their meaning. Like I googled the meaning behind a dark indigo aura which is mine, however the results are all different. How can I actually find the actual meanings behind the colours or is it all rubbish?","I understand what you’re saying, and I know that the colors of our auras change based on our energy (Mood, which chakra’s energy is dominant at the moment). However, aura’s are electro magnetic fields. And it does seem that some stand out by a lot, like some are soulless or not usual for ‘our’ (the common) people where we live (‘our’ part of earth). The wavelengths are different. Since everything is frequency. I heard from some people that they are even able to see or around magnets. This would make a lot of sense since it also has an electromagnetic field.",https://www.astrologywiki.com/zh/wiki,,,,
yellow aura meaning,"what does a yellow aura mean
yellow aura what does it mean
yellow aura color meaning​",7400,0,Info,Tier 2 (标准),Definition,"Solar Plexus Chakra / Manipura (太阳神经丛轮 / 脐轮)
Energetic Field (能量场)
Spiritual Frequency / Vibration (精神频率 / 振动)
Core Power / Willpower (核心力量 / 意志力)
Spiritual Awakening (精神觉醒)","I have a yellow aura too! I agree with others: creative, joyful, funny, intelligent, maybe head strong. Electricity is interesting, especially around the heart. I find my heart chakra hard to open compared to other chakras. My friend says it's because I don't forgive easily when betrayed. I associate and active heart with very active empathy, and deep caring, almost like you are feeling for others, maybe even when they can't feel themselves. ",,https://www.astrologywiki.com/zh/wiki,,,,
purple aura meaning,"purple aura color meaning
purple aura meaning personality
what does purple aura mean",5900,0,Info,Tier 2 (标准),Definition," Crown Chakra (顶轮)
 Psychic Abilities / Clairvoyance (通灵能力 / 灵力 / 透视力)
Empath (共情者 / 移情者)
Spiritual Realm / Ethereal Realm (灵性领域 / 灵界 / 精神世界)
Frequency / Vibration (频率 / 振动)","I realized I was seeing the same thing around non-living stuff too. Buildings, trees, even something like a picture frame. It wasn’t just my imagination because it looked like a light/frequency/bubble around them. Sometimes even colored.

I’ve heard of people seeing auras around humans and animals, but… do objects/places have auras too? Like is that normal?? Or am I just picking up on something else?
","All purples are astral travelers with some sort of psychic ability activated. They feel connected to a higher power, and are in communication with their higher self. They require freedom and can feel constricted by the expectations of society. They tend to be non-conformists that choose unconventional means of making a living. They don’t really mind standing out from the crowd. They will push against the current to bring positive change to the world.

I see dark purples as the connected, attuned, often witchy people. They feel in the flow of nature and the cosmos. They’re usually mediums or gifted in some way. They use the moon cycles, herbs, the elements to manifest and for self care.

",https://www.astrologywiki.com/zh/wiki,,,,
white aura meaning,"what do white auras mean
what does white aura colors mean
white aura what does it mean​",6600,0,Info,Tier 2 (标准),Definition,,,,,,,,
red aura meaning,(无),4600,0,,,,,,,,,,,
orange aura meaning,(无),5300,0,,,,,,,,,,,
(留空 结束当前集群),(留空),未找到,未找到,,,,,,,,,,,
"## 集群 1B：Aura Advanced (光环进阶与技法组)
*以 Aura Reading 为主 Blog，整合剩余颜色（绿、浅蓝等）与查询技巧。*",,未找到,未找到,,,,,,,,,,,
aura reading,(无),3000,4,,,,,,,,,,,
,,,,,,,,,,,,,,
green aura meaning,(无),5900,2,,,,,,,,,,,
light blue aura meaning,(无),1500,0,,,,,,,,,,,
what does a white aura mean,"what is my midheaven, what's my midheaven",1600,0,,,,,,,,,,,
what is my aura color,(无),700,2,,,,,,,,,,,
how to see your aura color,(无),800,2,,,,,,,,,,,
aura color,(无),600,3,,,,,,,,,,,
what does a green aura mean,(无),1500,2,,,,,,,,,,,
(留空 结束当前集群),(留空),未找到,未找到,,,,,,,,,,,
"## 集群 2：Vedic Astrology (印度占星体系)
*1篇计算器聚合工具页 + 多篇深度解读文。建立专业权威度。*",,未找到,未找到,,,,,,,,,,,
best vedic birth chart calculator,"vedic birth chart, sidereal chart, vedic chart, vedic chart calculator, sidereal birth chart, astrocartography chart calculator, astro.com birth chart calculator",150,19,,,,,,,,,,,
best vedic birth chart calculator,"vedic birth chart calculator online free, vedic birth chart calculator, free vedic birth chart with interpretation, birth chart compatibility calculator, birth chart calculator online, free vedic birth chart calculator online, sidereal birth chart calculator",150,19,,,,,,,,,,,
best vedic birth chart calculator,"astroseek birth chart calculator, sidereal chart calculator, vedic birth chart calculator online, astrological birth chart calculator, zodiac birth chart calculator, free online vedic birth chart calculator, birth chart transits",150,19,,,,,,,,,,,
best vedic birth chart calculator,"astro birth chart calculator, astro.com natal chart calculator birth chart, vedic calculator, synastry chart compatibility, vedic astro chart, chinese birth chart calculator, chinese astrology birth chart calculator",150,19,,,,,,,,,,,
best vedic birth chart calculator,"birth chart calculator compatibility, online vedic birth chart calculator, astro-charts birth chart calculator, lagna chart calculator, birth chart interpretation, vedic birth chart calculator free online, birth chart calculator sun moon rising",150,19,,,,,,,,,,,
best vedic birth chart calculator,"astrosage birth chart calculator, use a birth chart calculator, past life birth chart calculator, soulmate compatibility calculator, free vedic birth chart calculator, birth chart calculator vedic, birth calculator chart",150,19,,,,,,,,,,,
,,,,,,,,,,,,,,
vedic astrology chart interpretation,"natal chart interpretation, free transit chart with interpretation",250,13,,,,,,,,,,,
composite chart calculator,(无),1400,12,,,,,,,,,,,
atmakaraka calculator,(无),350,1,,,,,,,,,,,
dk planet calculator,(无),200,6,,,,,,,,,,,
d60 chart calculator,(无),150,9,,,,,,,,,,,
,,,,,,,,,,,,,,
"## 集群 3：Nodes & Karma (交点轴线与业力)
*1篇对比概念文 + 多个星座落位解析文。针对‘前世今生’搜索意图。*",,未找到,未找到,,,,,,,,,,,
true node vs north node,"north node calculator, what is my north node, north node meaning, north node astrology, what's my north node, what is north node in astrology, how to find north node",100,7,,,,,,,,,,,
true node vs north node,"what house is my north node in, where is my north node, how to find my north node, true sidereal astrology, north node house calculator",100,7,,,,,,,,,,,
,,,,,,,,,,,,,,
south node,south node calculator,2400,12,,,,,,,,,,,
north node in scorpio,(无),1800,0,,,,,,,,,,,
north node in taurus,(无),1400,0,,,,,,,,,,,
north node in gemini,(无),1200,0,,,,,,,,,,,
south node meaning,(无),300,6,,,,,,,,,,,
taurus north node,(无),250,0,,,,,,,,,,,
north node taurus,(无),250,0,,,,,,,,,,,
cancer north node,(无),250,0,,,,,,,,,,,
,,,,,,,,,,,,,,
"## 集群 4：Nakshatras (二十七星宿百科)
*1篇总览索引页 + 各星宿细节文。用于占领超长尾专业搜索词。*",,未找到,未找到,,,,,,,,,,,
nakshatra,(无),2900,3,,,,,,,,,,,
,,,,,,,,,,,,,,
ashlesha nakshatra,(无),1200,0,,,,,,,,,,,
rohini nakshatra,(无),1100,0,,,,,,,,,,,
pushya nakshatra,(无),1100,0,,,,,,,,,,,
anuradha nakshatra,(无),1100,1,,,,,,,,,,,
bharani nakshatra,(无),1000,0,,,,,,,,,,,
revati nakshatra,(无),1000,0,,,,,,,,,,,
dhanishta nakshatra,(无),1000,1,,,,,,,,,,,
,,,,,,,,,,,,,,
"## 📅 独立文章与长线占位 (Independent Posts)
*这些词作为独立的快速胜利词执行，已按权重降序排列。*",,未找到,未找到,,,,,,,,,,,
highly sensitive person vs autism,"highly sensitive person test free, the highly sensitive person test, traits of a highly sensitive person",300,2,,,,,,,,,,,
astro seek,(无),38000,0,Experience,Tier 1 (重装),Case Study,"Birth Chart / Natal Chart
Aspect Orbs
House System
Stellium
Traditional / Hellenistic Astrology","Whenever I do an analysis I like to focus on what stands out in your chart. For me that was you moon and Saturn in conjunction with your Ic in Cancer. 
If either site is showing you quincunxes that are more than a 3-degree orb, then the orbs are set too large. You can also tell both sites to include aspects to chiron, asc, mc, etc., as the site may or may not automatically include those.",,,,质检,obsidian://open?vault=gengrowth-ops&file=inbox%2F%E5%86%85%E5%AE%B9%E5%88%9B%E4%BD%9C%2Fblog%2FAstro_Seek_Case_Study_Stellium_Accuracy,
purple aura,(无),7300,3,,,,,,,,,,,
