Target Keyword,Associated Keywords,月搜索量,KD,Intent,Tier,Template,Entity,Friction,Logic,CTA,GSC Keywords,Status,URL,Last Audit,page_id,cluster_id,page_role,content_angle,psych_safety_flag,journal_prompts,target_keyword_zh,author
white label keyword research,"whitelabel keyword research, white label seo research, white label seo keyword tool, seo white labeled ranking tool",900,2,Informational,T2,Guide,White Label Keyword Research Tool,,,免费试用,,待写,/blog/white-label-keyword-research,,PG-WLS-001,white_label_seo,Pillar,"White-label keyword research tools agencies can deploy under their own brand vs building internal research workflows — how white-labeling eliminates 80% of research infrastructure cost | Gap_Reason: SERP populated by generic keyword research tool pages; zero results specifically address the agency white-labeling capability layer. | Aligned: Yes",N,,白标关键词研究,Alex Chen
best white label seo tool,"free white label seo tool, white label seo platform, white label seo software, white label seo reseller tool",700,1,Commercial,T2,Comparison,White Label SEO Tool / White Label SEO Platform,,,免费试用,,待写,/blog/best-white-label-seo-tool,,PG-WLS-002,white_label_seo,Series,"Best white-label SEO tools ranked by client portal quality, feature depth, and margin per seat — not just price | Gap_Reason: Existing comparison posts are 2-3 years old and miss new AI-native entrants; gengrowth.ai is absent from all current lists. | Aligned: Yes",N,,最佳白标SEO工具,Alex Chen
whitelabel seo tool,"white label seo tool, seo white label tool, white label seo reseller, white label seo platform",600,11,Informational,T2,Definition + Guide,White-Label SEO Tool / Agency SEO Reseller,,,免费试用,,待写,/blog/whitelabel-seo-tool,,PG-WLS-003,white_label_seo,Series,"What a white-label SEO tool actually includes and what agencies must verify before committing — the client-portal checklist most agency buyers skip | Gap_Reason: SERP results define white-labeling generically; none provide an agency buyer's due-diligence checklist. | Aligned: Yes",N,,白标SEO工具是什么,Alex Chen
free white label seo,"free white label seo tool, free white label seo report, free white label seo audit, white label seo free trial",150,12,Transactional,T3,Tool / Landing,Free White Label SEO Report Generator,,,免费生成报告,,待写,/tools/free-white-label-seo-report,,PG-WLS-004,white_label_seo,Support,"Generate a free white-label SEO audit report with your agency branding in under 60 seconds — no credit card, no setup | Gap_Reason: SERP shows listicles of white-label tools rather than actual free-generation landing pages; direct tool CTA is unoccupied. | Aligned: Yes",N,,免费白标SEO报告,Alex Chen
agency rank tracking,"rank tracking for agencies, seo rank tracking for agencies, agency seo rank tracker, rank tracker for seo agencies, seo rank tracking agency",4200,3,Transactional,T1,Guide,Agency Rank Tracking Tool / Multi-Client Rank Tracker,,,免费试用,,待写,/blog/agency-rank-tracking,,PG-ART-001,agency_rank_tracking,Pillar,"Agency rank tracking at scale — automating multi-client multi-keyword monitoring without per-keyword pricing that destroys agency margins | Gap_Reason: Existing rank tracking content focuses on individual site owners; zero pages specifically model the agency multi-client workflow and margin math. | Aligned: Yes",N,,代理机构排名追踪,Marcus Lee
seo reporting tool for seo companies,"seo report tool for agencies, seo reports for clients, client seo report tool, white label seo reporting tool",600,12,Commercial,T2,Comparison,SEO Reporting Tool / Client SEO Report Platform,,,免费试用,,待写,/blog/seo-reporting-tool-for-seo-companies,,PG-ART-002,agency_rank_tracking,Series,"SEO reporting tools built for agencies vs tools built for in-house teams — what differs in white-labeling depth automated scheduling and client delivery format | Gap_Reason: SERP shows generic 'best SEO tools' lists; no page specifically compares tools from the SEO company's delivery workflow perspective. | Aligned: Yes",N,,专为SEO公司的报告工具,Marcus Lee
local seo audit,"local seo audit checklist, local seo audit report, local seo audit service, local seo audit free, free local seo audit tool",2000,12,Commercial,T1,Checklist + Tool,Local SEO Audit / Google Business Profile Audit,,,免费审计,,待写,/blog/local-seo-audit,,PG-ART-003,agency_rank_tracking,Series,"Local SEO audit that surfaces the exact local pack ranking signals Google uses vs generic technical audits that miss GMB completeness and citation consistency factors | Gap_Reason: SERP mix of generic technical audit guides with no local-pack-specific signal framework; local-specific audit logic is unoccupied. | Aligned: Yes",N,,本地SEO审计,Marcus Lee
seo for saas,"saas seo strategy, seo strategy for saas, seo for saas companies, saas content marketing, saas seo guide",1600,0,Informational,T1,Guide,SaaS SEO Strategy / Product-Led Content,,,免费咨询,,待写,/blog/seo-for-saas,,PG-SFS-001,seo_for_saas,Pillar,"SaaS SEO strategy built around the SaaS funnel (awareness → trial → activation) vs generic content marketing that drives high traffic but wrong-ICP visitors | Gap_Reason: Most SaaS SEO guides are written by content agencies using B2C frameworks; no guide specifically addresses pricing page optimization and product-led content hierarchy. | Aligned: Yes",N,,SaaS SEO策略,Sarah Kim
saas seo platform,"seo platform for saas, seo tools for saas companies, saas seo software, best seo platform for saas",800,1,Commercial,T2,Comparison + Landing,SaaS SEO Platform / SEO Software for SaaS,,,免费试用,,待写,/blog/saas-seo-platform,,PG-SFS-002,seo_for_saas,Series,"What makes an SEO platform purpose-built for SaaS vs generic platforms that miss product-page optimization and trial funnel content needs | Gap_Reason: SERP shows generic 'best SEO tools' roundups; no page specifically benchmarks platforms against SaaS-specific use cases. | Aligned: Yes",N,,SaaS SEO平台,Sarah Kim
saas seo consultant,"seo consultant for saas, saas seo expert, seo consulting for saas companies, saas seo agency consultant, saas seo specialist",900,3,Commercial,T2,Landing + Service,SaaS SEO Consultant / SaaS Growth Strategist,,,预约咨询,,待写,/blog/saas-seo-consultant,,PG-SFS-003,seo_for_saas,Series,"When a SaaS SEO consultant delivers more than a generalist agency — what's different about SaaS positioning demo optimization and product-led content strategy | Gap_Reason: SERP results are individual consultant LinkedIn pages; no editorial page explains what SaaS-specific SEO consulting actually includes and when to hire it. | Aligned: Yes",N,,SaaS SEO顾问,Sarah Kim
