Target Keyword,Associated Keywords,月搜索量,KD,Intent,Tier,Template,Entity,Friction,Logic,CTA,GSC Keywords,Status,URL,Last Audit,page_id,cluster_id,page_role,content_angle,psych_safety_flag,journal_prompts,target_keyword_zh,author
full moon June 2026,"full moon ritual June 2026,June full moon meaning,full moon in capricorn 2026",2400,48,Info,T2,Case Study,Full Moon Capricorn,"Practitioners miss the June 30 Capricorn Full Moon's structural tension with Cancer season because they read full moons as isolated events rather than axis activations opposing the current solar theme.","June 30 full moon falls in Capricorn opposing Cancer Sun — read this as the culmination axis of home-vs-structure. Mercury retrograde beginning same day amplifies the review quality of this culmination.",Newsletter,,待写,,,PG-MOON-004,lunar_rituals,Series,June 2026 Full Moon in Capricorn: Culmination Ritual for the Structure-vs-Home Axis,N,,"2026年6月满月",Aditi Sharma
full moon July 2026,"july full moon 2026,full moon ritual july 2026,buck moon 2026",1900,67,Info,T2,Case Study,Full Moon Aquarius,"Practitioners approach July's full moon without understanding how Mars entering Gemini in late June scatters energy — the July full moon falls during high multitasking pressure and requires a focused containment practice.","July full moon activates collective / individual axis (Aquarius-Leo) during Mars-in-Gemini scatter season. Ritual focus: consolidate one initiative rather than honor multiple scattered threads.",Newsletter,,待写,,,PG-MOON-005,lunar_rituals,Series,July 2026 Full Moon Ritual: How to Consolidate Energy When Mars Wants You to Scatter,N,,"2026年7月满月",Aditi Sharma
moon journal,"moon journaling,lunar journal,moon journal prompts,full moon journal",200,0,Info,T2,Guide,Lunar Cycle Journaling,"Aspiring moon journalers abandon the practice after 2–3 cycles because generic moon journaling templates ask the same questions regardless of phase — defeating the point of cycle-aligned reflection.","Moon journaling requires phase-specific prompts: new moon = intention planting, waxing = action tracking, full moon = honest culmination assessment, waning = release identification. One-size templates miss the entire mechanism.",Newsletter,,待写,,,PG-MOON-006,lunar_rituals,Support,The Phase-Specific Moon Journal: Why Generic Templates Fail and What Each Phase Actually Needs,N,Yes,"月亮日记",Aditi Sharma
full moon journal prompts,"full moon journaling,journaling on a full moon,full moon reflection prompts",100,0,Info,T2,Guide,Lunar Reflection Practice,"Journalers use full moon prompts that mirror new moon intention questions — asking 'what do I want to manifest' when full moon energy calls for honest culmination assessment and release identification.","Full moon prompts must target the completion function: what reached its natural end, what needs honest evaluation, what are you ready to release. Manifestation questions belong to new moon.",Newsletter,,待写,,,PG-MOON-007,lunar_rituals,Support,Full Moon Journal Prompts That Actually Work: Culmination and Release Questions for Each Sign,N,Yes,"满月日记提示",Aditi Sharma
new moon journal prompts,"new moon journaling,new moon intention setting,new moon reflection",70,0,Info,T3,Guide,New Moon Intention Setting,Beginners write overly vague new moon intentions because they conflate wishing with intentional planting — missing the specificity required for the lunar cycle to serve as a tracking mechanism.,New moon prompts must produce specific measurable intentions that can be honestly assessed at the corresponding full moon 2 weeks later. Vagueness breaks the cycle feedback loop.,Newsletter,,待写,,,PG-MOON-008,lunar_rituals,Support,New Moon Journal Prompts: How to Set Intentions Specific Enough to Actually Track,N,Yes,"新月日记提示",Aditi Sharma
journal prompts,"shadow work journal prompts,self reflection journal prompts,journal prompts for anxiety,journal prompts for self discovery",18000,8,Info,T1,Definition,Self-Reflection Writing,"Journalers abandon the practice within two weeks because generic prompt lists provide questions without a framework — generating surface-level answers that feel repetitive rather than revealing genuine psychological patterns.","Effective journal prompts are diagnostic tools, not open-ended questions. The difference between a prompt that surfaces insight and one that generates narrative is structural: specificity of the psychological target, not depth of the question.",Newsletter,,待写,,,PG-JOURNAL-001,journal_prompts_writing,Pillar,Journal Prompts That Actually Work: A Diagnostic Framework for Surfacing Real Psychological Patterns,Y,Yes,"日记提示词",Elena Vane
shadow work journal prompts,"shadow work prompts,inner child journal prompts,dark side journaling,jungian shadow work",1300,1,Info,T2,Case Study,Shadow Integration Practice,"Seekers use shadow work prompts that generate shame spirals rather than integration because most prompt lists focus on exposing flaws rather than understanding the adaptive function the shadow originally served.","Shadow content became shadow because it was adaptive at some point. Effective shadow work prompts ask: 'What was this protecting me from?' before 'How do I change this?' — the adaptive function question prevents dissociation.",Newsletter,,待写,,,PG-JOURNAL-002,journal_prompts_writing,Series,Shadow Work Journal Prompts That Integrate Rather Than Shame: Starting With the Adaptive Function,Y,Yes,"阴影工作日记",Elena Vane
black moon lilith,"lilith astrology,black lilith meaning,true lilith vs mean lilith,lilith in birth chart",2400,22,Info,T1,Definition,Black Moon Lilith,"Astrology students confuse Black Moon Lilith (an orbital point) with asteroid Lilith (a physical body) and True vs Mean Lilith calculations — the resulting chart misreadings send them searching for meaning in the wrong placement.","Black Moon Lilith is the Moon's apogee — the point furthest from Earth in the lunar orbit — not a planet or asteroid. Three distinct calculation methods (True, Mean, Oscillating) produce different degrees, requiring disambiguation before interpretation.",星盘页,,待写,,,PG-LILITH-001,black_moon_lilith,Pillar,Black Moon Lilith Explained: Disambiguating the Three Calculation Methods Before You Interpret Anything,N,,"黑月莉莉斯",Marcus Orion
black lilith,"dark lilith,lilith sign meaning,lilith placement astrology",600,24,Info,T2,Definition,Lunar Apogee Point,Practitioners misread Lilith placements as curses or wounds when its function is to mark where authentic desire was exiled — the shadow of the exiled feminine is creative force in hiding.,Lilith placements show where you learned your authentic desires were unacceptable. The wound is not the desire itself — it is the exile. Integration reclaims the desire without the reactive edge.,星盘页,,待写,,,PG-LILITH-002,black_moon_lilith,Series,What Your Black Lilith Placement Actually Means: Exiled Desire vs Wounded Shadow,N,,"黑月莉莉斯位置",Marcus Orion
composite chart calculator,"synastry chart,relationship astrology calculator,compatibility chart,composite chart reading",1400,12,Info,T1,Programmatic,Composite Chart,"Couples using composite charts misread them as a third separate entity when the composite is better understood as a map of the relationship's energetic field — what emerges between two charts, not a standalone person.","Composite chart = midpoint chart showing the relationship's own planetary field. Unlike synastry (planet-to-planet overlays), composite shows the emergent entity that exists between two people — and that entity has its own natal chart logic.",星盘页,,待写,,,PG-SYNASTRY-001,synastry_compatibility,Pillar,Composite Chart vs Synastry: Understanding the Emergent Relationship Field vs Planetary Overlays,N,,"合盘计算器",Marcus Orion
