Target Keyword,Associated Keywords,月搜索量,KD,Intent,Tier,Template,Entity,Friction,Logic,CTA,GSC Keywords,Status,URL,Last Audit,page_id,cluster_id,page_role,content_angle,psych_safety_flag,journal_prompts,target_keyword_zh,author
white label keyword research,"whitelabel keyword research, white label seo research, white label seo keyword tool, seo white labeled ranking tool",900,2,Informational,T2,Guide,White Label Keyword Research Tool,SEO agency owners conflate white-label keyword research with rebranded tool access because no page explains what client-facing branded delivery actually includes.,"SERP returns tool comparison lists (SearchAtlas, SE Ranking, Swydo) and agency service pages describing white-label as a feature — none show the client-facing delivery workflow step by step. Agencies evaluating tools encounter feature descriptions like '4.2 billion keyword database' and 'branded reports' without understanding how that data reaches the client in a presentable, agency-branded format. The gap between tool capability and client-facing delivery workflow is the primary decision friction for agencies choosing their first white-label SEO platform. A page that maps the full delivery workflow — from tool access to client portal to branded export — converts the evaluation-stage buyer who has read comparison posts without finding this layer.",免费试用,,已发布,/blog/white-label-keyword-research,,PG-WLS-001,white_label_seo,Pillar,"White-label keyword research tools agencies can deploy under their own brand vs building internal research workflows — how white-labeling eliminates 80% of research infrastructure cost | Gap_Reason: SERP returns tool comparison lists and agency service pages; none explain the client-facing delivery workflow (portal, reseller API, branded export format). | Aligned: Yes",N,,白标关键词研究,Alex Chen
best white label seo tool,"free white label seo tool, white label seo platform, white label seo software, white label seo reseller tool",700,1,Commercial,T2,Comparison,White Label SEO Tool / White Label SEO Platform,Agency owners conflate white-label SEO tool quality with SEO feature depth because comparison posts rarely distinguish logo-only branding from full platform resale tiers.,"SERP contains multiple 2026 tested comparison posts (onelittleweb tested 30+, Swydo, LLM Pulse) that rank tools on SEO feature depth — keyword database size, audit completeness, rank tracking accuracy. One result introduces a Level 1/2/3 white-labeling framework (Level 1 = branded PDF, Level 2 = client portal, Level 3 = full platform resale) that is absent from all other comparison posts. Agencies selecting on feature rankings may choose SE Ranking for its SEO features when they actually need WebCEO's Level 3 resale capability — a mismatch discovered only after onboarding clients. A comparison organized around white-label capability tiers rather than SEO feature scores gives agency buyers the decision dimension absent from every current SERP result.",免费试用,,已发布,/blog/best-white-label-seo-tool,,PG-WLS-002,white_label_seo,Series,"Best white-label SEO tools ranked by client portal depth and white-label tier (Level 1/2/3) rather than SEO feature scores — the evaluation dimension most comparison posts omit | Gap_Reason: All 2026 comparison posts (onelittleweb 30+ tested, Swydo, LLM Pulse) rank by SEO feature depth; Level 1/2/3 white-label tier distinction appears in only one result. | Aligned: Yes",N,,最佳白标SEO工具,Alex Chen
whitelabel seo tool,"white label seo tool, seo white label tool, white label seo reseller, white label seo platform",600,11,Informational,T2,Definition + Guide,White-Label SEO Tool / Agency SEO Reseller,Agency owners conflate logo-swap white-labeling with full client portal isolation because the Level 1 to Level 3 distinction almost never appears on vendor tool pages.,"SERP returns the same tool comparison content as 'best white label seo tool' — Swydo, SE Ranking, MetricSpot, onelittleweb — describing white-labeling as a binary on/off feature on vendor pages. One result quotes that '68% of agencies now use white-label providers,' indicating high adoption but no corresponding depth of evaluation content for what differentiates provider tiers. Agencies that purchased a white-label SEO tool based on vendor marketing discover post-contract that 'white-label' meant logo-on-PDF rather than isolated client portal with custom domain. A page defining the white-label tier spectrum with specific evaluation criteria (custom domain, client login isolation, footer branding control) gives the 68% of agencies currently using white-label tools a framework to choose the right tier before signing.",免费试用,,已发布,/blog/whitelabel-seo-tool,,PG-WLS-003,white_label_seo,Series,What white-label SEO tool tiers actually mean — Level 1 logo-swap vs Level 2 client portal vs Level 3 full platform resale — and the checklist agencies need before committing | Gap_Reason: SERP tool pages describe white-labeling as binary on/off; the Level 1/2/3 tier spectrum appears in almost no vendor or comparison content. | Aligned: Yes,N,,白标SEO工具是什么,Alex Chen
free white label seo,"free white label seo tool, free white label seo report, free white label seo audit, white label seo free trial",150,12,Transactional,T3,Tool / Landing,Free White Label SEO Report Generator,Small agency owners overlook white-label tier restrictions because platforms marketing free white-label SEO still apply vendor footer branding that clients can see.,"SERP returns actual free white-label tools — seoaudit.software (free 14 days), MetricSpot (10 audits/month free), MySiteAuditor, SEOptimer — confirming free options exist. Key SERP finding: MetricSpot's free plan includes 'a small MetricSpot line in the footer' visible to clients, and most free tiers restrict to PDF exports rather than full portal access. Small agencies testing free white-label tools encounter this footer restriction only after generating and sending their first branded report to a client — the discovery timing is the worst possible moment. A landing page offering a genuinely unbranded, no-footer-credit free report differentiates precisely at the point where small agencies are testing free options and finding hidden restrictions.",免费生成报告,,已发布,/tools/free-white-label-seo-report,,PG-WLS-004,white_label_seo,Support,"Free white-label SEO report with zero vendor footer branding — unlike MetricSpot and SEOptimer free tiers which add a visible credit line clients can see | Gap_Reason: SERP has free tools (MetricSpot, SEOptimer, MySiteAuditor) but all add vendor footer credits on free tier; a truly unbranded free report is unoccupied. | Aligned: Yes",N,,免费白标SEO报告,Alex Chen
agency rank tracking,"rank tracking for agencies, seo rank tracking for agencies, agency seo rank tracker, rank tracker for seo agencies, seo rank tracking agency",4200,3,Transactional,T1,Guide,Agency Rank Tracking Tool / Multi-Client Rank Tracker,SEO agency managers overlook rank tracking automation ROI because no comparison page models the time cost of manual ranking pulls across a multi-client portfolio.,"SERP returns tool comparison lists (DashThis 12 best, thedigitalprojectmanager 19 best, AgencyAnalytics) evaluating tools on rank tracking accuracy, location targeting, device tracking, and white-label reporting — zero results model the economic cost of manual rank tracking or calculate time savings from automation. One SERP result notes that modern rank trackers now also track AI search engines (Google AI Overviews, ChatGPT, Perplexity) — a new reporting requirement most agencies haven't noticed. The tool comparison format treats rank tracking as a data accuracy problem rather than an agency capacity and margin problem. A page that models agency economics of rank tracking — manual hours per client per month vs automated cost, plus AI search visibility as a new client deliverable — converts managers who have evaluated tools on feature parity rather than workflow impact.",免费试用,,已发布,/blog/agency-rank-tracking,,PG-ART-001,agency_rank_tracking,Pillar,"Agency rank tracking ROI: manual hours per client vs automated cost — plus AI search visibility (Google AIO, ChatGPT, Perplexity) as the new reporting layer agencies aren't billing for yet | Gap_Reason: All SERP results are feature-comparison tool lists; none model agency economics or time-savings math across a multi-client portfolio. | Aligned: Yes",N,,代理机构排名追踪,Marcus Lee
seo reporting tool for seo companies,"seo report tool for agencies, seo reports for clients, client seo report tool, white label seo reporting tool",600,12,Commercial,T2,Comparison,SEO Reporting Tool / Client SEO Report Platform,SEO agency account managers conflate client reporting tools with in-house reporting tools because comparison posts evaluate features without modeling the client delivery workflow difference.,"SERP returns DashThis, SE Ranking, Whatagraph (6 best for agencies), and DAXRM — all positioned as 'best SEO reporting software' or 'best for agencies.' Whatagraph and DashThis market specifically to agencies but evaluate on 'ease of automation' and 'number of integrations' rather than on client-facing clarity and white-label delivery depth. In-house SEO reporting tools optimize for internal stakeholders who understand SEO context; agency tools must produce outputs legible to non-SEO clients evaluating performance on business outcomes. A comparison that models the client delivery workflow — data pull to scheduled branded email with narrative framing — converts agency buyers who have used in-house reporting tools and found them insufficient for external client communication.",免费试用,,已发布,/blog/seo-reporting-tool-for-seo-companies,,PG-ART-002,agency_rank_tracking,Series,"SEO reporting tools compared on client delivery workflow — white-label depth, scheduled client email, narrative framing for non-SEO clients — not just feature integration count | Gap_Reason: SERP results (DashThis, Whatagraph, SE Ranking) evaluate on automation ease and integrations; the in-house vs agency delivery workflow distinction is absent. | Aligned: Yes",N,,专为SEO公司的报告工具,Marcus Lee
local seo audit,"local seo audit checklist, local seo audit report, local seo audit service, local seo audit free, free local seo audit tool",2000,12,Commercial,T1,Checklist + Tool,Local SEO Audit / Google Business Profile Audit,Local SEO consultants conflate site audits with local pack audits because most checklists combine GBP signals and on-page factors without prioritizing by local pack impact.,"SERP contains strong guides (Seobility full walkthrough, SEJ 11-point checklist, Semrush guide) and free audit tools (LocalAuditPro, Greater Leads). SEJ's 11-point checklist covers GBP, citations, reviews, website trust, and local ranking signals — comprehensive but organized as a sequential list rather than by signal weight for local pack inclusion. The key gap: no published guide explicitly separates signals that determine local pack inclusion (GBP completeness, citation NAP consistency, review velocity) from signals that improve organic rankings (on-page content, technical SEO, backlinks) — two different ranking systems addressed together in all current results. A local SEO audit framework that separates local pack signals from organic SEO signals and prioritizes by local pack impact gives consultants the diagnostic tool they need when a client ranks organically but doesn't appear in the local pack.",免费审计,,已发布,/blog/local-seo-audit,,PG-ART-003,agency_rank_tracking,Series,"Local SEO audit that separates local pack ranking signals from general organic SEO signals — the two-system distinction no published checklist makes explicit | Gap_Reason: SEJ, Seobility, and Semrush guides cover GBP and on-page together; none prioritize signals specifically by local pack inclusion weight vs organic ranking weight. | Aligned: Yes",N,,本地SEO审计,Marcus Lee
seo for saas,"saas seo strategy, seo strategy for saas, seo for saas companies, saas content marketing, saas seo guide",1600,0,Informational,T1,Guide,SaaS SEO Strategy / Product-Led Content,SaaS founders conflate blog content strategy with SaaS SEO because most guides prioritize post volume while ignoring pricing pages and trial signups as SEO assets.,"SERP contains strong editorial competition from kalungi, backlinko, simpletiger, directive, and nogood.io — all are well-established SaaS SEO guide publishers. Directive's 'customer-led SEO' guide is the most distinctive angle. The shared gap across all results: every guide addresses keyword research, content strategy, and link building for SaaS but none treats pricing pages, trial signup pages, and product feature pages as distinct SEO content assets with unique optimization requirements separate from blog content. SaaS founders following current guides will build strong blog cluster content while missing the highest-intent conversion pages on their site. A guide that specifically addresses the SEO requirements of each SaaS page type (blog, feature, pricing, comparison, trial) gives founders a complete architecture that all current SERP results omit.",免费咨询,,已发布,/blog/seo-for-saas,,PG-SFS-001,seo_for_saas,Pillar,"SaaS SEO architecture by page type: blog, feature page, pricing page, comparison page, and trial signup — the layer that kalungi, backlinko, and simpletiger all omit | Gap_Reason: Strong competition (backlinko, kalungi, directive) covers SaaS SEO broadly but none treat pricing pages and trial signups as distinct SEO asset types with separate optimization logic. | Aligned: Yes",N,,SaaS SEO策略,Sarah Kim
saas seo platform,"seo platform for saas, seo tools for saas companies, saas seo software, best seo platform for saas",800,1,Commercial,T2,Comparison + Landing,SaaS SEO Platform / SEO Software for SaaS,SaaS marketing leads overlook SaaS SEO platforms because search results return agency lists and generic AI tools rather than platforms built for trial funnel optimization.,"SERP for 'saas seo platform' returns agency listing pages (respona's 43 SaaS SEO firms, position.digital's best agencies) and AI content tool comparisons (SEOZilla automated content, AEO Engine for AI search) — not platforms purpose-built for SaaS company SEO workflows. The intent mismatch is significant: a SaaS marketing lead searching for an SEO platform for their SaaS product gets agency recommendations rather than a tool they can use. SEOZilla is the closest result, positioned as 'AI-powered SEO platform for SaaS' but focused on automated daily article creation rather than trial funnel and pricing page optimization. A page that defines what a SaaS SEO platform should do — trial page optimization, pricing page schema, comparison content automation, integration page structure — captures searchers who can't find this platform type in current SERP.",免费试用,,已发布,/blog/saas-seo-platform,,PG-SFS-002,seo_for_saas,Series,"What a SaaS SEO platform should actually do: trial page optimization, pricing page schema, integration directory structure — not what SERP returns (agency lists and AI content writers) | Gap_Reason: SERP returns agency listing pages (respona 43 firms, position.digital) and AI content tools (SEOZilla, AEO Engine); no page defines or compares platforms on SaaS funnel optimization criteria. | Aligned: Yes",N,,SaaS SEO平台,Sarah Kim
saas seo consultant,"seo consultant for saas, saas seo expert, seo consulting for saas companies, saas seo agency consultant, saas seo specialist",900,3,Commercial,T2,Landing + Service,SaaS SEO Consultant / SaaS Growth Strategist,SaaS growth leads can't distinguish SaaS SEO specialists from generalists because consultant lists surface names and reviews rather than defining what SaaS-specific SEO methodology includes.,"SERP returns individual consultant service pages (mikekhorev.com), consultant marketplace listings (Growtal, Onelittleweb's 46+), and editorial comparisons of vetted consultants (taylorscherseo.com). The taylorscherseo.com result specifically vets consultants on B2B SaaS experience — the closest to an evaluation framework. The gap: no page explains what specific SaaS SEO deliverables distinguish a genuine specialist from a generalist who has worked with one SaaS client — there is no methodology transparency standard for the category. SaaS founders comparing consultants across these lists see names, prices, and client testimonials but cannot verify whether the consultant understands product-led content, trial conversion optimization, or pricing page hierarchy. A page defining verifiable SaaS SEO methodology markers converts buyers that consultant listing pages structurally cannot serve.",预约咨询,,已发布,/blog/saas-seo-consultant,,PG-SFS-003,seo_for_saas,Series,"SaaS SEO consultant evaluation framework: the methodology markers that separate genuine SaaS specialists from generalists claiming SaaS experience — what listing pages like Growtal and Onelittleweb don't show | Gap_Reason: SERP returns consultant ranking lists (46+ consultants on onelittleweb, Growtal marketplace) and individual service pages; none define verifiable SaaS-specific methodology criteria buyers can apply. | Aligned: Yes",N,,SaaS SEO顾问,Sarah Kim
